model_used,parameters,no_of_samples,train_test_split_ratio,target,spectra_type,rmse,lccc,r_squared,logged,train_data_key,test_data_key
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 14, 'n_rules': 500, 'neighbors': 9, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,c.tot_usda.a622_w.pct,visnir,0.07548793787315997,0.9474615702766497,0.8948118361092857,True,train_c.tot_usda.a622_w.pct_2500,test_c.tot_usda.a622_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 7, 'n_rules': 500, 'neighbors': 9, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,s.tot_usda.a624_w.pct,visnir,0.022157157324219058,0.5670488177954306,0.3053138509457807,False,train_s.tot_usda.a624_w.pct_2500,test_s.tot_usda.a624_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 14, 'n_rules': 500, 'neighbors': 9, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,c.tot_usda.a622_w.pct,visnir,0.07548793787315997,0.9474615702766497,0.8948118361092857,True,train_c.tot_usda.a622_w.pct_2500,test_c.tot_usda.a622_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 7, 'n_rules': 500, 'neighbors': 9, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,s.tot_usda.a624_w.pct,visnir,0.022157157324219058,0.5670488177954306,0.3053138509457807,False,train_s.tot_usda.a624_w.pct_2500,test_s.tot_usda.a624_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 19, 'n_rules': 500, 'neighbors': 8, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,n.tot_usda.a623_w.pct,visnir,0.0536160564741051,0.9314659504066236,0.8657105247902119,True,train_n.tot_usda.a623_w.pct_2500,test_n.tot_usda.a623_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 19, 'n_rules': 500, 'neighbors': 7, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,clay.tot_usda.a334_w.pct,visnir,0.03424530854003478,0.8299511124442003,0.6871828065823009,False,train_clay.tot_usda.a334_w.pct_2500,test_clay.tot_usda.a334_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 17, 'n_rules': 500, 'neighbors': 8, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,sand.tot_usda.c60_w.pct,visnir,0.06333015179643457,0.6305885726184749,0.3962306503944464,False,train_sand.tot_usda.c60_w.pct_2500,test_sand.tot_usda.c60_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 18, 'n_rules': 500, 'neighbors': 9, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,silt.tot_usda.c62_w.pct,visnir,0.041540267915259346,0.6947353259782183,0.481575710392376,False,train_silt.tot_usda.c62_w.pct_2500,test_silt.tot_usda.c62_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 12, 'n_rules': 500, 'neighbors': 9, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,c.tot_usda.a622_w.pct,neo nir,0.041017481659573876,0.9487726659773793,0.899425812258145,True,train_c.tot_usda.a622_w.pct_2500,test_c.tot_usda.a622_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 20, 'n_rules': 500, 'neighbors': 8, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,s.tot_usda.a624_w.pct,neo nir,0.006246158157003161,0.8602326072184644,0.7363011278582345,False,train_s.tot_usda.a624_w.pct_2500,test_s.tot_usda.a624_w.pct_2500
Cubist,"{'auto': False, 'cv': None, 'extrapolation': 0.05, 'n_committees': 16, 'n_rules': 500, 'neighbors': 6, 'random_state': None, 'sample': None, 'target_label': 'outcome', 'unbiased': False, 'verbose': 0}",2500,0.2,oc_usda.c729_w.pct,neo nir,0.04204222890605155,0.9572572374339666,0.9154390582615007,True,train_oc_usda.c729_w.pct_2500,test_oc_usda.c729_w.pct_2500
